type,version,schemaIdentifier,originatingSystem,preprocessorVersion,timeStamp,type,globalId,name,ownerHistory.type,ownerHistory.ref,relatingPropertyDefinition.type,relatingPropertyDefinition.ref
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d7938,Basic Wall:Interior - Partition (92mm Stud):139143,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d5330,Basic Wall:Interior - Plumbing (152mm Stud):144783,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,2c391822-07f8-4a22-86a8-a1e57412d365,Basic Wall:Interior - Furring (152 mm Stud):190774,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d55b5,Basic Wall:Interior - Plumbing (152mm Stud):144138,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d5393,Basic Wall:Interior - Partition (92mm Stud):144684,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d5512,Basic Wall:Interior - Partition (92mm Stud):144301,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcSlab,982f59b0-f2e1-485f-8ce1-c9f6117b7ef5,Floor:Finish Floor - Wood:170352,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcSlab,982f59b0-f2e1-485f-8ce1-c9f6117b7a99,Floor:Finish Floor - Wood:171292,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcSpace,aa6e13ea-b5bc-4245-93bf-8b23558433df,A205,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,2c391822-07f8-4a22-86a8-a1e57412d386,Basic Wall:Interior - Furring (152 mm Stud):190933,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,2c391822-07f8-4a22-86a8-a1e57412dcef,Basic Wall:Interior - Partition (92mm Stud):190140,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d54e7,Basic Wall:Interior - Partition (92mm Stud):143960,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,2c391822-07f8-4a22-86a8-a1e57412df9e,Basic Wall:Interior - Furring (152 mm Stud):189901,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,64b7f7d3-8cfc-4277-ba33-8de2e6533e77,Basic Wall:Interior - Partition (92mm Stud):203347,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
